Udise_Code,ClassCode,Total_Seats,RTE_Seats,admitted,Dropout,Retaining
22143206804,C009,47,3,3,0,3
22100710303,C002,20,4,4,0,4
22100719914,C006,24,6,0,0,0
22220514904,C007,0,0,0,0,0
22041408309,C012,0,0,0,0,0
22122517911,C002,0,0,0,0,0
22100614903,C006,20,7,6,1,5
22140315318,C004,50,12,12,0,12
22070322321,C007,0,0,0,0,0
22110406213,C007,0,0,0,0,0
22100726217,C004,24,3,0,0,0
22040608106,C002,0,0,0,0,0
22051027406,C005,177,31,31,1,30
22241806803,C005,30,8,1,0,1
22030105308,C004,20,5,5,0,5
22130301605,C004,16,4,4,0,4
22230204231,C004,18,4,2,0,2
22153307302,C004,14,4,4,0,4
22130305604,C009,0,0,0,0,0
22100700311,C011,0,0,0,0,0
22261209210,C009,0,0,0,0,0
22061707302,C005,87,22,13,0,13
22143217401,C006,17,5,5,0,5
22071509014,C012,0,0,0,0,0
22061903605,C009,120,27,27,12,15
22051015149,C003,12,3,3,0,3
22090808005,C008,20,5,4,0,4
